SCRAPING DATE,TOKEN,ADDRESS,BALANCE
27/8/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"455,985,700.10"
27/8/2021,LUNA,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.026654
27/8/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,1
27/8/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,"309,445,235.91"
27/8/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,"9,005,995.50"
27/8/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227 204 707.29 
27/8/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"534,985.24"
27/8/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"1,520,453.53"
27/8/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"2,853,795.99"
27/8/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,"28,259.16"
27/8/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No data acquired.
27/8/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,"224,072"
27/8/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.000639
27/8/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,20
27/8/2021,HBAR,0.0.358271,"78,767,572.00"
27/8/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.5
27/8/2021,HNT,14sBjdgVU2bxYfpvaQH621gzb4CdYuuToj4ms6psJeKDVxxMp8A,No data acquired.
27/8/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,6.27E-06
28/8/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"455,985,700.10"
28/8/2021,LUNA,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.026654
28/8/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,1
28/8/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,No data acquired.
28/8/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,"9,006,823.61"
28/8/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227 204 707.29 
28/8/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"653,974.71"
28/8/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,No data acquired.
28/8/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,No data acquired.
28/8/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No data acquired.
28/8/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No data acquired.
28/8/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,No data acquired.
28/8/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.000639
28/8/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,20
28/8/2021,HBAR,0.0.358271,"78,767,572.00"
28/8/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.5
28/8/2021,HNT,14sBjdgVU2bxYfpvaQH621gzb4CdYuuToj4ms6psJeKDVxxMp8A,No data acquired.
28/8/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,6.27E-06
29/8/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"455,985,700.10"
29/8/2021,LUNA,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,0.001987
29/8/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,1
29/8/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,"309,445,235.91"
29/8/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,"9,008,182.80"
29/8/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227 204 707.29 
29/8/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,"850,960.53"
29/8/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"1,520,453.53"
29/8/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,"2,853,795.99"
29/8/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,"28,259.16"
29/8/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No data acquired.
29/8/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,"224,072"
